 tempo     90  90_std        dia tipo_vento
185.54    NaN    0.00 2006-07-04 meridional
200.54 -12.33    0.66 2006-07-19 meridional
201.54    NaN    0.00 2006-07-20 meridional
202.54 -18.90    0.05 2006-07-21 meridional
203.54 -21.62    0.91 2006-07-22 meridional
204.54  -8.07    0.05 2006-07-23 meridional
205.54 -42.34    0.64 2006-07-24 meridional
206.54   1.86    0.11 2006-07-25 meridional
207.54  17.82    0.89 2006-07-26 meridional
208.54 -19.54    0.44 2006-07-27 meridional
209.54  38.40    0.13 2006-07-28 meridional
210.54  38.51    0.55 2006-07-29 meridional
211.54  -4.47    0.34 2006-07-30 meridional
212.50 -14.72    0.05 2006-07-31 meridional
213.54  -8.79    0.51 2006-08-01 meridional
214.54  32.92    1.46 2006-08-02 meridional
215.54    NaN    0.00 2006-08-03 meridional
217.54 -34.87    0.76 2006-08-05 meridional
218.54    NaN    0.00 2006-08-06 meridional
219.54 -48.13    0.68 2006-08-07 meridional
220.54    NaN    0.00 2006-08-08 meridional
223.54 -34.57    0.10 2006-08-11 meridional
224.54  17.69    0.13 2006-08-12 meridional
225.54 -48.62    2.09 2006-08-13 meridional
226.54  53.20    0.70 2006-08-14 meridional
227.54 -30.48    0.65 2006-08-15 meridional
228.54   5.46    0.70 2006-08-16 meridional
229.54 -43.15    0.81 2006-08-17 meridional
230.54   0.62    0.57 2006-08-18 meridional
231.54 -13.75    0.43 2006-08-19 meridional
232.54   4.80    1.34 2006-08-20 meridional
233.54  20.64    0.14 2006-08-21 meridional
238.54  45.49    0.61 2006-08-26 meridional
239.54 -26.51    0.94 2006-08-27 meridional
240.54   8.93    0.36 2006-08-28 meridional
241.54    NaN    0.00 2006-08-29 meridional
243.50  27.53    0.69 2006-08-31 meridional
244.54 -11.39    0.85 2006-09-01 meridional
247.54  -2.71    0.03 2006-09-04 meridional
248.54   1.59    0.13 2006-09-05 meridional
